"","ID1","DataType","ExptNumber","MouseID","strainName","sex","Date","birthDate","ExptDoneBy","Age(wks)","BodyWeight","DrugBottleStartWeight","WaterBottleStartWeight","DrugBottleEndWeight","WaterBottleEndWeight","MeasureDays","d7","d8","d9","d10","d11","d12","d13","Drug","DrugDose","DoseUnits","d14","d15","d16","d17","d18","d19","d20","d21","d22","d23","d24","d25","mg/kg formula check","MouseIDDateMaster","MouseIDDateMDTStatic","MouseIDDateQC","coatColor","origin","Group","nickname","SucrosePreference","OralMethPreference","DrugVolConsumed","WaterVolConsumed","DrugPreferenceScore","DrugMassConsumed","TestNumber"
"366",20200,"Oral methamphetamine","SUC0045","023943","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-13,"5/30/2023 0:00:00","Marina",10.71,21.4,83.9,70.1,81.3,65.7,2,NA,NA,NA,NA,NA,NA,"Day 7-9","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318741.6,"023943_8/13/2023","023943_8/13/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2.60000000000001,4.40000000000001,0.371428571428572,0.00242990654205608,4
"367",20220,"Oral methamphetamine","SUC0045","023943","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-15,"5/30/2023 0:00:00","Marina",11,21.5,81.3,65.7,78.2,61.4,2,NA,NA,NA,NA,NA,NA,"Day 9-11","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295705.12,"023943_8/15/2023","023943_8/15/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",3.09999999999999,4.3,0.418918918918918,0.00576744186046511,5
"368",20240,"Oral methamphetamine","SUC0045","023943","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-17,"5/30/2023 0:00:00","Marina",11.28,21.2,78.2,82.2,75.1,77.7,2,NA,NA,NA,NA,NA,NA,"Day 11-13","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277019.79,"023943_8/17/2023","023943_8/17/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",3.09999999999999,4.5,0.407894736842105,0.00584905660377357,6
"369",20141,"Oral methamphetamine","SUC0045","023944","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-07,"5/30/2023 0:00:00","Marina",9.85,19,81.4,81.9,79.4,78,2,NA,NA,NA,NA,NA,NA,"Day 1-3","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340166.32,"023944_8/7/2023","023944_8/7/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2,3.90000000000001,0.338983050847457,0.00105263157894737,1
"370",20161,"Oral methamphetamine","SUC0045","023944","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-09,"5/30/2023 0:00:00","Marina",10.14,19.5,79.4,78,75.2,76.6,2,NA,NA,NA,NA,NA,NA,"Day 3-5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306198.96,"023944_8/9/2023","023944_8/9/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",4.2,1.39999999999999,0.750000000000001,0.00215384615384616,2
"371",20181,"Oral methamphetamine","SUC0045","023944","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-11,"5/30/2023 0:00:00","Marina",10.42,19.4,81.4,76.6,77.9,73.3,2,NA,NA,NA,NA,NA,NA,"Day 5-7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326858.77,"023944_8/11/2023","023944_8/11/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",3.5,3.30000000000001,0.51470588235294,0.00360824742268041,3
"372",20201,"Oral methamphetamine","SUC0045","023944","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-13,"5/30/2023 0:00:00","Marina",10.71,19.4,77.9,73.3,73.6,71.3,2,NA,NA,NA,NA,NA,NA,"Day 7-9","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295538.14,"023944_8/13/2023","023944_8/13/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",4.3,2,0.682539682539682,0.00443298969072165,4
"373",20221,"Oral methamphetamine","SUC0045","023944","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-15,"5/30/2023 0:00:00","Marina",11,19.4,81.2,71.3,79.4,66.2,2,NA,NA,NA,NA,NA,NA,"Day 9-11","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332334.01,"023944_8/15/2023","023944_8/15/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.8,5.09999999999999,0.260869565217391,0.00371134020618556,5
"374",20241,"Oral methamphetamine","SUC0045","023944","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-08-17,"5/30/2023 0:00:00","Marina",11.28,20,79.4,66.2,76.9,61.5,2,NA,NA,NA,NA,NA,NA,"Day 11-13","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305293.01,"023944_8/17/2023","023944_8/17/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2.5,4.7,0.347222222222222,0.005,6
"375",20142,"Oral methamphetamine","SUC0045A","023948","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-07,"5/30/2023 0:00:00","Tom_Marina",9.85,26.2,80.9,82.8,74.4,81.5,2,NA,NA,NA,NA,NA,NA,"Day 1-3","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229731.3,"023948_8/7/2023","023948_8/7/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",6.5,1.3,0.833333333333334,0.00248091603053435,1
"376",20162,"Oral methamphetamine","SUC0045A","023948","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-09,"5/30/2023 0:00:00","Tom_Marina",10.14,25.8,74.4,81.5,72.8,73.1,2,NA,NA,NA,NA,NA,NA,"Day 3-5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209934.9,"023948_8/9/2023","023948_8/9/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.60000000000001,8.39999999999999,0.160000000000001,0.000620155038759693,2
"377",20182,"Oral methamphetamine","SUC0045A","023948","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-11,"5/30/2023 0:00:00","Tom_Marina",10.42,26.5,83.8,73.1,77,71.1,2,NA,NA,NA,NA,NA,NA,"Day 5-7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243494.34,"023948_8/11/2023","023948_8/11/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",6.8,2,0.772727272727273,0.00513207547169811,3
"378",20202,"Oral methamphetamine","SUC0045A","023948","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-13,"5/30/2023 0:00:00","Tom_Marina",10.71,25.8,77,71.1,74.4,63.8,2,NA,NA,NA,NA,NA,NA,"Day 7-9","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222046.52,"023948_8/13/2023","023948_8/13/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2.59999999999999,7.3,0.262626262626262,0.00201550387596899,4
"379",20222,"Oral methamphetamine","SUC0045A","023948","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-15,"5/30/2023 0:00:00","Tom_Marina",11,26.2,83.7,84.5,79.8,78.8,2,NA,NA,NA,NA,NA,NA,"Day 9-11","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254933.59,"023948_8/15/2023","023948_8/15/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",3.90000000000001,5.7,0.40625,0.00595419847328245,5
"380",20242,"Oral methamphetamine","SUC0045A","023948","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-17,"5/30/2023 0:00:00","Tom_Marina",11.28,26.7,79.8,78.8,78.8,70.1,2,NA,NA,NA,NA,NA,NA,"Day 11-13","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235514.62,"023948_8/17/2023","023948_8/17/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1,8.69999999999999,0.103092783505155,0.00149812734082397,6
"381",20143,"Oral methamphetamine","SUC0045","023949","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-07,"5/30/2023 0:00:00","Marina",9.85,28.9,80.9,82.6,79.3,75.7,2,NA,NA,NA,NA,NA,NA,"Day 1-3","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221985.14,"023949_8/7/2023","023949_8/7/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.60000000000001,6.90000000000001,0.188235294117648,0.000553633217993082,1
"382",20163,"Oral methamphetamine","SUC0045","023949","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-09,"5/30/2023 0:00:00","Marina",10.14,29.1,79.3,75.7,73.1,74.5,2,NA,NA,NA,NA,NA,NA,"Day 3-5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199203.78,"023949_8/9/2023","023949_8/9/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",6.19999999999999,1.2,0.837837837837837,0.00213058419243986,2
"383",20183,"Oral methamphetamine","SUC0045","023949","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-11,"5/30/2023 0:00:00","Marina",10.42,28.7,79.4,74.5,75.6,70.7,2,NA,NA,NA,NA,NA,NA,"Day 5-7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209151.21,"023949_8/11/2023","023949_8/11/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",3.8,3.8,0.5,0.00264808362369338,3
"384",20203,"Oral methamphetamine","SUC0045","023949","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-13,"5/30/2023 0:00:00","Marina",10.71,28.7,75.6,70.7,70.5,68.4,2,NA,NA,NA,NA,NA,NA,"Day 7-9","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185707.3,"023949_8/13/2023","023949_8/13/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",5.10000000000001,2.3,0.68918918918919,0.00355400696864112,4
"385",20223,"Oral methamphetamine","SUC0045","023949","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-15,"5/30/2023 0:00:00","Marina",11,28.9,82.5,68.4,81.2,62.5,2,NA,NA,NA,NA,NA,NA,"Day 9-11","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231799.29,"023949_8/15/2023","023949_8/15/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.3,5.90000000000001,0.180555555555555,0.0017993079584775,5
"386",20243,"Oral methamphetamine","SUC0045","023949","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-17,"5/30/2023 0:00:00","Marina",11.28,29.5,81.2,82.1,79.1,78,2,NA,NA,NA,NA,NA,NA,"Day 11-13","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217726.08,"023949_8/17/2023","023949_8/17/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2.09999999999999,4.10000000000001,0.338709677419354,0.00284745762711864,6
"387",20144,"Oral methamphetamine","SUC0045","023950","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-07,"5/30/2023 0:00:00","Marina",9.85,26.4,80.4,84.4,78.4,78.6,2,NA,NA,NA,NA,NA,NA,"Day 1-3","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238763.65,"023950_8/7/2023","023950_8/7/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2,5.8,0.256410256410256,0.000757575757575758,1
"388",20164,"Oral methamphetamine","SUC0045","023950","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-09,"5/30/2023 0:00:00","Marina",10.14,26.9,78.4,78.6,73.6,75.3,2,NA,NA,NA,NA,NA,NA,"Day 3-5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214507.07,"023950_8/9/2023","023950_8/9/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",4.8,3.30000000000001,0.592592592592592,0.00178438661710037,2
"389",20184,"Oral methamphetamine","SUC0045","023950","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-11,"5/30/2023 0:00:00","Marina",10.42,26.3,83.1,75.3,80,69.6,2,NA,NA,NA,NA,NA,NA,"Day 5-7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252775.67,"023950_8/11/2023","023950_8/11/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",3.10000000000001,5.69999999999999,0.352272727272728,0.00235741444866921,3
"390",20204,"Oral methamphetamine","SUC0045","023950","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-13,"5/30/2023 0:00:00","Marina",10.71,26.7,80,69.6,74.4,67.6,2,NA,NA,NA,NA,NA,NA,"Day 7-9","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222921.34,"023950_8/13/2023","023950_8/13/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",5.59999999999999,2.00000000000001,0.736842105263156,0.00419475655430711,4
"391",20224,"Oral methamphetamine","SUC0045","023950","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-15,"5/30/2023 0:00:00","Marina",11,26.6,82.5,67.6,81.1,60.6,2,NA,NA,NA,NA,NA,NA,"Day 9-11","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251531.95,"023950_8/15/2023","023950_8/15/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.39999999999999,6.99999999999999,0.166666666666666,0.00210526315789472,5
"392",20244,"Oral methamphetamine","SUC0045","023950","B6NJ-KCNH3-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-08-17,"5/30/2023 0:00:00","Marina",11.28,27.9,81.1,81.8,78.7,77.5,2,NA,NA,NA,NA,NA,NA,"Day 11-13","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228765.94,"023950_8/17/2023","023950_8/17/2023","yes","","Kumar Lab","","KCNH3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2.40000000000001,4.3,0.358208955223881,0.00344086021505377,6
"393",21452,"Oral methamphetamine","SUC0050","024369","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-11,"6/24/2023 0:00:00","Marina",11.28,19.1,82.9,83.1,80.7,79.1,2,NA,NA,NA,NA,NA,NA,"Day 1-3","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350263.33,"024369_9/11/2023","024369_9/11/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2.2,4,0.35483870967742,0.00115183246073299,1
"394",21469,"Oral methamphetamine","SUC0050","024369","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-13,"6/24/2023 0:00:00","Marina",11.57,20,80.7,79.1,79.2,74.3,2,NA,NA,NA,NA,NA,NA,"Day 3-5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319571.97,"024369_9/13/2023","024369_9/13/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.5,4.80000000000001,0.238095238095238,0.00075,2
"395",21486,"Oral methamphetamine","SUC0050","024369","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-15,"6/24/2023 0:00:00","Marina",11.85,19.8,82.9,74.3,81.9,68.9,2,NA,NA,NA,NA,NA,NA,"Day 5-7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342904.57,"024369_9/15/2023","024369_9/15/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1,5.39999999999999,0.15625,0.00101010101010101,3
"396",21503,"Oral methamphetamine","SUC0050","024369","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-17,"6/24/2023 0:00:00","Marina",12.14,20.2,81.9,68.9,81.1,63.3,2,NA,NA,NA,NA,NA,NA,"Day 7-9","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328816.31,"024369_9/17/2023","024369_9/17/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",0.799999999999997,5.6,0.125,0.000792079207920789,4
"397",21520,"Oral methamphetamine","SUC0050","024369","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-19,"6/24/2023 0:00:00","Marina",12.42,20,83.3,83.4,82.6,78,2,NA,NA,NA,NA,NA,NA,"Day 9-11","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344029,"024369_9/19/2023","024369_9/19/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",0.699999999999989,5.40000000000001,0.114754098360654,0.00139999999999998,5
"398",21537,"Oral methamphetamine","SUC0050","024369","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-21,"6/24/2023 0:00:00","Marina",12.71,20.1,82.6,78,82.1,72.2,2,NA,NA,NA,NA,NA,NA,"Day 11-13","Methamphetamine drinking","80","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337386.06,"024369_9/21/2023","024369_9/21/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",0.5,5.8,0.0793650793650794,0.00099502487562189,6
"399",21453,"Oral methamphetamine","SUC0050","024371","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-11,"6/24/2023 0:00:00","Marina",11.28,17.6,83.3,83.2,82.2,78.2,2,NA,NA,NA,NA,NA,NA,"Day 1-3","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389048.84,"024371_9/11/2023","024371_9/11/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.09999999999999,5,0.180327868852458,0.000624999999999997,1
"400",21470,"Oral methamphetamine","SUC0050","024371","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-13,"6/24/2023 0:00:00","Marina",11.57,18.3,82.2,78.2,79.1,75.8,2,NA,NA,NA,NA,NA,NA,"Day 3-5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355301.62,"024371_9/13/2023","024371_9/13/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",3.09999999999999,2.40000000000001,0.563636363636363,0.00169398907103825,2
"401",21487,"Oral methamphetamine","SUC0050","024371","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-15,"6/24/2023 0:00:00","Marina",11.85,17.8,82.3,75.8,80.2,70.7,2,NA,NA,NA,NA,NA,NA,"Day 5-7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370812.37,"024371_9/15/2023","024371_9/15/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",2.09999999999999,5.09999999999999,0.291666666666666,0.00235955056179775,3
"402",21504,"Oral methamphetamine","SUC0050","024371","B6NJ-Strn3+/- Cyfip2-S968F<J> H Lethal","F",2023-09-17,"6/24/2023 0:00:00","Marina",12.14,18.5,80.2,70.7,78.6,67.6,2,NA,NA,NA,NA,NA,NA,"Day 7-9","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340741.6,"024371_9/17/2023","024371_9/17/2023","yes","","Kumar Lab","","Strn3","SPT4: 2 day water, 2 days each with increasing dose of sucrose (0.25%, 0.5%, 2%) 2-bottle choice","OM4: 4 days 20mg-L,  4 days 40mg-L,  4 days 80mg-L oral methamphetamine",1.59999999999999,3.10000000000001,0.340425531914892,0.00172972972972972,4
